method,species,phenotype,description,all_time_s,corr_mean,corr_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,cpu_mem_MB,gpu_mem_MB
GBLUP,Cotton,FibLen_17_18,Fiber Length,4.5507,0.5719,0.1154,1.03948,0.06011,1.8231,0.188,0.284,0.2118,1180.3671,0
GBLUP,Cotton,FibElo_17_18,Fiber Elongation,4.3158,0.4573,0.05799,0.6627,0.04945,0.7374,0.124,0.1821,0.06566,1190.6171,0
GBLUP,Loblolly_Pine,stiffnessTree,Stiffness Tree,29.4292,0.136,0.07929,1.1902,0.09971,2.4002,0.3079,-0.6871,0.3366,16623.1015,0
GBLUP,Loblolly_Pine,rootnumbin,Rootnum_bin,28.4684,0.04281,0.1014,0.2797,0.02868,0.1269,0.02213,-1.00493,0.4862,11953.9414,0
GBLUP,Loblolly_Pine,rootnum,Rootnum,30.8578,0.01847,0.07642,1.02261,0.0845,1.7161,0.2688,-0.9182,0.3329,10802.1718,0
GBLUP,Loblolly_Pine,lignin,Lignin,29.6484,0.03942,0.09246,1.2822,0.08064,2.6598,0.3511,-0.8853,0.208,16485.7187,0
GBLUP,Loblolly_Pine,lateWood%4,Late Wood %4,29.7114,0.1062,0.0889,1.6222,0.1306,4.1796,0.57,-0.7665,0.3186,16425.664,0
GBLUP,Loblolly_Pine,density,Density,28.7116,0.04856,0.1014,2.6141,0.2087,11.7741,1.6758,-0.998,0.4188,16344.2265,0
GBLUP,Loblolly_Pine,c5c6,C5C6,29.151,0.09307,0.08853,2.7587,0.197,12.2952,1.4933,-0.814,0.2923,14164.6835,0
GBLUP,Maize,PH,Plant Height,568.826,0.6612,0.0485,12.1743,1.09649,244.204,41.2749,0.432,0.06533,17555.289,0
GBLUP,Maize,EW,Ear Weight,596.626,0.5051,0.06746,11.5825,0.7169,220.6856,30.07668,0.2445,0.0762,18686.9687,0
GBLUP,Maize,DTT,Days to tasseling ,555.4435,0.6482,0.05221,1.7173,0.1165,4.7939,0.6426,0.4092,0.06195,21327.04687,0
GBLUP,Millet,TSLW,Second Leaf Width,21.4115,0.4168,0.07953,0.2489,0.03152,0.1,0.02635,0.1223,0.07074,18333.9609,0
GBLUP,Millet,TSLL,Second Leaf Length,22.207,0.4796,0.09958,5.2842,0.4634,44.4895,6.693,0.1984,0.1209,17500.1718,0
GBLUP,Millet,SGN,Grain Number per Spike,19.7987,0.3242,0.1177,23.6695,2.2714,902.8074,159.7336,0.03169,0.1304,15175.6953,0
GBLUP,Millet,PGW,Per-Plant Grain Weight,20.4545,0.2451,0.1043,4.08927,0.4089,26.8826,5.1748,-0.03369,0.09864,13389.9882,0
GBLUP,Millet,MSW,Main Stem Diameter,22.3188,0.5939,0.07471,1.2844,0.141,2.7023,0.5189,0.3423,0.09527,9699.2148,0
GBLUP,Millet,MSSN,Main Stem Spikelet Number,19.7862,0.2987,0.08123,13.3666,1.08812,292.07938,48.6747,-0.01286,0.1051,14818.4765,0
GBLUP,Millet,MSPW,Main Stem Panicle Weight,21.1682,0.249,0.1186,4.7668,0.5055,36.394,7.7349,-0.02837,0.1081,12794.4843,0
GBLUP,Millet,MSPL,Main Stem Panicle Length,22.3073,0.5391,0.08014,3.5519,0.3152,20.1021,2.832,0.2598,0.1123,10175.4804,0
GBLUP,Millet,MSPD,Main Stem Panicle Diameter,20.8864,0.6299,0.05756,6.1556,0.5346,60.823,11.4258,0.3872,0.07807,11008.707,0
GBLUP,Millet,MSH,Main Stem Height,21.3856,0.2839,0.08684,11.6071,0.6372,207.8165,24.2758,-0.009206,0.107,17024.6875,0
GBLUP,Millet,HKW,Hundred-Kernel Weight,20.04039,0.1534,0.09795,0.2393,0.03733,0.4331,0.6725,-36.4287,21.06455,13985.1328,0
GBLUP,Millet,FNL,Flag Neck Length,21.5828,0.4981,0.1323,4.09872,0.4479,37.8276,36.5036,0.174,0.1533,11841.8398,0
GBLUP,Mouse,weight,Body Weight,24.2866,0.4179,0.03098,2.5146,0.1086,9.6282,0.7649,0.1487,0.02845,12051.3085,0
GBLUP,Mouse,Obesity.BMI,Body Mass Index,23.09334,0.2212,0.06233,0.04782,0.003135,0.003666,0.0005171,-0.04183,0.07222,14142.6562,0
GBLUP,Mouse,Anx,Anxiety-like Behavior,22.9847,0.3889,0.06104,0.3729,0.02428,0.2206,0.02732,0.1081,0.07632,12912.5078,0
GBLUP,Pig,bf,Backfat Thickness at 100 kg body weight,174.1508,0.681,0.02743,2.006172,0.09556,6.6017,0.5819,0.461,0.04002,20343.5039,0
GBLUP,Pig,age,Age at 100 kg body weight,172.5609,0.6731,0.01848,9.02015,0.3166,131.6815,7.8454,0.4447,0.03022,22160.1015,0
GBLUP,Rapeseed,FloweringTime,Flowering Time,13.2231,0.8115,0.03421,4.02949,0.4334,39.8395,14.8002,0.6408,0.05568,11119.9375,0
GBLUP,Rice,TGW_BLUP,Thousand-Grain Weight,6.3362,0.2175,0.09836,2.1266,0.2246,7.5286,1.6772,-0.009281,0.0703,11901.2421,0
GBLUP,Rice,PPNP_BLUP,Panicle Number per Plant,6.6333,0.4344,0.09443,0.8033,0.06834,1.05961,0.2053,0.164,0.0946,13450.8125,0
GBLUP,Rice,PH_BLUP,Plant Height,6.9197,0.3958,0.06622,7.7517,0.8756,104.4965,26.2382,0.1083,0.06153,13450.6992,0
GBLUP,Rice,HD_BLUP,Heading Date,6.7865,0.5306,0.103,6.8259,0.6465,73.7623,12.8456,0.2678,0.1276,12733.6171,0
GBLUP,Rice,GYP_BLUP,Grain Yield per Plant,6.6714,0.2885,0.05115,2.02053,0.2158,6.8847,1.6763,0.0512,0.04099,13463.6406,0
GBLUP,Rice,GW_BLUP,Grain Weight,6.3976,0.8043,0.03612,0.1573,0.01888,0.04017,0.008993,0.6386,0.05931,11120.08203,0
GBLUP,Rice,GL_BLUP,Grain Length,6.1617,0.8104,0.0235,0.49,0.02647,0.4188,0.04446,0.6447,0.0424,11120.0664,0
GBLUP,Soybean,VBN_BLUP,,195.3115,0.602,0.03063,0.5011,0.02863,0.446,0.03667,0.3495,0.0488,19308.7382,0
GBLUP,Soybean,PLH_BLUP,,193.9796,0.5786,0.03623,10.209,0.346,184.1894,14.1356,0.3234,0.05175,27208.1093,0
GBLUP,Soybean,BBD_BLUP,,242.8137,0.5948,0.031,5.2177,0.2172,51.8111,4.1795,0.3409,0.0472,26220.4843,0
GBLUP,Wheat,deregressed.blups,Deregressed BLUPs,425.8984,0.2917,0.0307,485.6228,13.3481,381310.0,18161.2214,-0.345,0.07054,21091.9687,0
GBLUP,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),373.3918,0.292,0.03101,305.8046,8.3632,151090.0,7305.7727,-0.3452,0.07032,27853.2226,0
GBLUP,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,386.5784,0.2917,0.0307,485.6228,13.3481,381310.0,18161.2214,-0.345,0.07054,20538.7382,0
GBLUP,Yeast,Tunicamycin,Growth Response under Tunicamycin,110.3306,0.7814,0.04615,2.3089,0.2024,8.532,1.6017,0.5992,0.0679,1724.4257,0
GBLUP,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,71.277,0.6167,0.05828,1.3527,0.09477,3.4279,0.5356,0.3588,0.08089,1738.7031,0
GBLUP,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,73.6188,0.6832,0.07399,1.6349,0.135,4.2115,0.7273,0.4565,0.1024,1588.9765,0
BayesA,Cattle,scs,	Somatic cell score,3081.6406,0.7522,0.01943,0.5228,0.02277,0.4355,0.04264,0.563,0.02756,17301.3437,0
BayesA,Cattle,mkg,Milk yield,2837.1166,0.7927,0.01527,0.4848,0.01288,0.3712,0.02022,0.626,0.02288,12854.246,0
BayesA,Cattle,fpro,Fat percentage,3188.08809,0.8683,0.009012,0.3883,0.008643,0.2455,0.01195,0.753,0.01498,14372.1132,0
BayesA,Chicken,EW36,Egg Weight at 36 weeks,77.3956,0.3578,0.08688,2.4935,0.1522,9.4223,1.1373,0.1125,0.06429,7829.2343,0
BayesA,Chicken,EW28,Egg Weight at 28 weeks,80.5823,0.3421,0.08008,2.6232,0.2701,10.6751,2.1052,0.1033,0.06285,7735.1992,0
BayesA,Chickpea,Plant_height,Plant Height,2131.1526,0.5818,0.03452,6.2356,0.3798,64.9935,7.2598,0.3367,0.03989,11253.5781,0
BayesA,Chickpea,Hundred_seed_weight,Hundred-Seed Weight,2096.556,0.6269,0.03141,5.562,0.2743,56.6959,5.7747,0.3887,0.0421,12853.9726,0
BayesA,Chickpea,Days_to_0.5_flowering,Days to 50% flowering,2093.2446,0.495,0.04598,11.04369,0.5897,198.4671,19.5553,0.242,0.04556,12320.5039,0
BayesA,Cotton,FibStr_17_18,Fiber Strength,12.8822,0.6118,0.0888,1.1167,0.04792,2.02775,0.2105,0.3607,0.1143,10600.6562,0
BayesA,Cotton,FibMic_17_18,Micronaire,22.2225,0.5093,0.07107,0.2286,0.01451,0.08586,0.009928,0.2534,0.0743,4732.5429,0
BayesA,Cotton,FibLen_17_18,Fiber Length,13.2938,0.5931,0.113,1.01206,0.06686,1.7228,0.1595,0.3281,0.1722,10600.6406,0
BayesA,Cotton,FibElo_17_18,Fiber Elongation,11.1762,0.497,0.05481,0.6414,0.05718,0.6858,0.1302,0.2432,0.05521,4732.5468,0
BayesA,Loblolly_Pine,stiffnessTree,Stiffness Tree,62.9768,0.2712,0.1181,0.886,0.07964,1.3787,0.2689,0.05504,0.08927,4887.8984,0
BayesA,Loblolly_Pine,rootnumbin,Rootnum_bin,57.2999,0.1504,0.05878,0.2078,0.02181,0.06569,0.01409,-0.003638,0.04021,4856.8359,0
BayesA,Loblolly_Pine,rootnum,Rootnum,56.5472,0.138,0.03539,0.7505,0.08481,0.9151,0.1807,0.0001091,0.01584,4733.5546,0
BayesA,Loblolly_Pine,lignin,Lignin,63.925,0.1526,0.1093,0.8994,0.03283,1.3965,0.1085,0.008922,0.05433,4764.3789,0
BayesA,Loblolly_Pine,lateWood%4,Late Wood %4,57.3412,0.1826,0.06993,1.192,0.07864,2.3574,0.2988,0.01594,0.04165,4733.6601,0
BayesA,Loblolly_Pine,density,Density,62.9663,0.1493,0.06684,1.7033,0.1287,6.05718,1.09239,-0.003849,0.0461,4733.6406,0
BayesA,Loblolly_Pine,c5c6,C5C6,60.1145,0.1971,0.07413,1.9458,0.1433,6.6592,0.802,0.02899,0.04205,5134.5234,0
BayesA,Maize,PH,Plant Height,1705.7662,0.6579,0.04662,12.205,1.06714,246.1269,40.8679,0.4274,0.06473,7834.6796,0
BayesA,Maize,EW,Ear Weight,1764.8039,0.506,0.06182,11.5749,0.714,220.008538,29.5454,0.2474,0.06709,9720.1562,0
BayesA,Maize,DTT,Days to tasseling ,1651.7366,0.6499,0.05183,1.711,0.1171,4.7728,0.6258,0.4115,0.06115,9259.789,0
BayesA,Millet,TSLW,Second Leaf Width,240.9741,0.4368,0.07029,0.2425,0.03394,0.09473,0.02594,0.1718,0.0641,5330.01171,0
BayesA,Millet,TSLL,Second Leaf Length,217.3685,0.5084,0.08554,5.1144,0.4346,41.5913,6.2075,0.2534,0.09392,1722.2695,0
BayesA,Millet,SGN,Grain Number per Spike,232.1777,0.363,0.1089,22.7623,1.7837,833.9078,141.3093,0.1055,0.109,4974.09765,0
BayesA,Millet,PGW,Per-Plant Grain Weight,229.1541,0.2945,0.1146,3.8971,0.439,24.4739,5.3349,0.06566,0.08498,4973.3789,0
BayesA,Millet,MSW,Main Stem Diameter,234.1351,0.6112,0.04978,1.2647,0.1226,2.6094,0.4405,0.3654,0.06186,6044.5273,0
BayesA,Millet,MSSN,Main Stem Spikelet Number,236.6234,0.3336,0.08271,12.648,1.1572,267.4987,53.4125,0.07891,0.07908,5092.6406,0
BayesA,Millet,MSPW,Main Stem Panicle Weight,239.2608,0.2913,0.1304,4.5774,0.5621,33.3777,7.8961,0.06327,0.09595,5330.7851,0
BayesA,Millet,MSPL,Main Stem Panicle Length,227.7069,0.5714,0.07549,3.4058,0.2923,18.5253,2.5439,0.3187,0.09584,5687.5039,0
BayesA,Millet,MSPD,Main Stem Panicle Diameter,232.9728,0.652,0.05223,5.9995,0.4901,57.6925,10.1086,0.418,0.06865,5806.3867,0
BayesA,Millet,MSH,Main Stem Height,229.5655,0.3097,0.07742,11.1898,0.6016,193.3521,22.8037,0.06364,0.06936,7473.9218,0
BayesA,Millet,HKW,Hundred-Kernel Weight,219.1459,0.2101,0.08434,0.1536,0.03692,0.386,0.6973,-14.7243,8.9696,4854.246,0
BayesA,Millet,FNL,Flag Neck Length,216.4061,0.5301,0.1343,3.8706,0.4698,35.1459,36.3258,0.2536,0.1394,5569.01171,0
BayesA,Mouse,weight,Body Weight,203.5409,0.4613,0.02584,2.4348,0.1191,8.9533,0.742,0.2087,0.02463,5487.6406,0
BayesA,Mouse,Obesity.BMI,Body Mass Index,224.1773,0.2517,0.0724,0.04565,0.003049,0.003352,0.000475,0.04848,0.04857,4872.4648,0
BayesA,Mouse,Anx,Anxiety-like Behavior,211.1026,0.4026,0.04989,0.3635,0.02114,0.2095,0.02376,0.1535,0.04226,5487.5703,0
BayesA,Pig,bf,Backfat Thickness at 100 kg body weight,1592.5632,0.6876,0.02773,1.9774,0.0975,6.4627,0.5941,0.4725,0.0385,10510.875,0
BayesA,Pig,age,Age at 100 kg body weight,1597.2225,0.6871,0.01811,8.8117,0.317,125.8487,7.6946,0.4695,0.0267,12262.6914,0
BayesA,Rapeseed,FloweringTime,Flowering Time,133.1339,0.8184,0.03166,4.004957,0.3722,37.9285,13.2207,0.6558,0.05172,5946.7851,0
BayesA,Rice,TGW_BLUP,Thousand-Grain Weight,27.4826,0.2588,0.1094,2.02858,0.1906,7.09158,1.5575,0.04912,0.05841,4864.7226,0
BayesA,Rice,PPNP_BLUP,Panicle Number per Plant,28.01212,0.4362,0.09727,0.8014,0.0726,1.05425,0.2274,0.1737,0.08284,4865.2812,0
BayesA,Rice,PH_BLUP,Plant Height,27.9458,0.4205,0.0575,7.572,0.9018,100.9287,29.684,0.1483,0.04668,4865.1875,0
BayesA,Rice,HD_BLUP,Heading Date,31.3761,0.5446,0.0923,6.727,0.5419,71.913,10.8921,0.2858,0.1061,4865.1054,0
BayesA,Rice,GYP_BLUP,Grain Yield per Plant,30.6999,0.3256,0.0693,1.9578,0.2199,6.5833,1.694,0.09513,0.04758,4865.9609,0
BayesA,Rice,GW_BLUP,Grain Weight,20.4825,0.8102,0.03597,0.1543,0.01897,0.03908,0.009009,0.6492,0.0576,4864.7382,0
BayesA,Rice,GL_BLUP,Grain Length,24.9136,0.8174,0.02377,0.4726,0.03154,0.4033,0.04988,0.6587,0.03935,5876.6484,0
BayesA,Soybean,VBN_BLUP,,1626.07226,0.614,0.0308,0.4882,0.029,0.4315,0.03815,0.3714,0.0415,10780.4453,0
BayesA,Soybean,PLH_BLUP,,1702.8876,0.5852,0.03487,10.07375,0.419,180.6289,16.4268,0.3378,0.0423,12754.3476,0
BayesA,Soybean,BBD_BLUP,,1619.1249,0.6084,0.03291,5.1481,0.228,50.201,4.2402,0.3616,0.04651,11764.01953,0
BayesA,Wheat,deregressed.blups,Deregressed BLUPs,2046.4176,0.5008,0.0317,359.2358,10.5678,212960.0,12795.5015,0.2496,0.03239,13419.3476,0
BayesA,Wheat,blups,Best Linear Unbiased Predictors (BLUPs),2070.6337,0.4985,0.03006,226.3759,6.6928,84634.7911,5141.2582,0.2473,0.03061,19050.6093,0
BayesA,Wheat,Adj.Grain.Yield,Adjusted Grain Yield,1965.2018,0.4992,0.03047,359.496,10.2909,213450.0,12478.8779,0.2478,0.03134,15859.1992,0
BayesA,Yeast,Tunicamycin,Growth Response under Tunicamycin,279.6996,0.7896,0.03933,2.2273,0.1872,8.1703,1.5865,0.6163,0.06653,2093.5742,0
BayesA,Yeast,Magnesium_Sulfate,Growth Response under Magnesium Sulfate,270.4486,0.6304,0.06145,1.3408,0.1017,3.3386,0.4941,0.3733,0.08821,2043.5507,0
BayesA,Yeast,Cobalt_Chloride,Growth Response under Cobalt Chloride,179.06537,0.6957,0.06954,1.6093,0.1398,4.08753,0.7437,0.4726,0.1044,1938.6914,0
BayesB,Cattle,scs,	Somatic cell score,3036.6945,0.7474,0.0192,0.5304,0.02144,0.4519,0.04164,0.5463,0.02823,12178.7226,0
BayesB,Cattle,mkg,Milk yield,2733.6986,0.7855,0.01737,0.5035,0.01838,0.3991,0.0296,0.5984,0.02638,9825.2695,0
BayesB,Cattle,fpro,Fat percentage,2920.4729,0.8644,0.009073,0.416,0.0285,0.2801,0.03491,0.718,0.03861,13586.621,0
BayesB,Chicken,EW36,Egg Weight at 36 weeks,83.8673,0.363,0.09131,2.5594,0.2355,10.1128,2.2662,0.05505,0.13,3992.07421,0
BayesB,Chicken,EW28,Egg Weight at 28 weeks,66.1997,0.3324,0.0874,2.6547,0.2833,11.0474,2.2433,0.07369,0.06667,9568.5859,0
BayesB,Chickpea,Plant_height,Plant Height,2008.02159,0.5786,0.03329,6.8817,0.6386,76.7857,13.9003,0.2107,0.1532,10411.3828,0
