method,species,phenotype,cv_splits,corr,cpu_mem_MB,final/all_time,final/corr_mean,final/corr_std,final/mae_mean,final/mae_std,final/mse_mean,final/mse_std,final/r2_mean,final/r2_std,fold,gpu_mem_MB,mae,mse,r2,time_sec
BayesA,Rice,TGW_BLUP,10,0.1668,1481.125,32.5552,0.2593,0.1105,2.02373,0.1951,7.06418,1.5386,0.05244,0.05823,9,0,1.9035,7.0006525,0.008386,1.832
BayesA,Rice,GW_BLUP,10,0.7918,1469.1484,28.4668,0.8105,0.03491,0.1543,0.01894,0.03903,0.008941,0.6498,0.05585,9,0,0.1762,0.04827,0.6263,1.8111
BayesA,Rice,GL_BLUP,10,0.8001,1450.7226,27.7736,0.8167,0.02136,0.4743,0.02822,0.4047,0.04249,0.6573,0.03507,9,0,0.4825,0.4284,0.6328,1.9174
BayesA,Mouse,Obesity.BMI,10,0.3063,2296.4726,178.3084,0.2508,0.07004,0.04577,0.003008,0.003361,0.0004734,0.04564,0.04954,9,0,0.0454,0.00333,0.08923,15.8808
BayesB,Mouse,Obesity.BMI,10,0.3029,2595.1406,178.9079,0.2497,0.0621,0.04744,0.003759,0.003608,0.0005266,-0.02546,0.07158,9,0,0.04505,0.003326,0.09055,16.9355
BayesC,Mouse,Obesity.BMI,10,0.3026,2655.1054,167.5375,0.2326,0.06619,0.04639,0.00296,0.003457,0.0004335,0.01592,0.06549,9,0,0.04559,0.003347,0.08476,16.7195
BayesA,Mouse,Anx,10,0.4054,2664.707,182.3136,0.4015,0.04745,0.3644,0.02146,0.2098,0.02393,0.1524,0.03997,9,0,0.3423,0.1841,0.1535,18.05069
BayesB,Mouse,Anx,10,0.4041,2840.2968,183.1051,0.3831,0.05818,0.3763,0.02473,0.2238,0.02966,0.09651,0.06758,9,0,0.3429,0.1861,0.1444,17.75
BayesC,Mouse,Anx,10,0.3956,2654.25,169.3737,0.3912,0.05183,0.3761,0.02528,0.2245,0.02914,0.08775,0.1316,9,0,0.426,0.2804,-0.2893,15.7215
rrBLUP,Mouse,Obesity.BMI,10,0.3029,2229.9648,138.6961,0.2479,0.06693,0.04569,0.002933,0.003334,0.000435,0.05275,0.03152,9,0,0.04535,0.003355,0.08242,13.4467
BayesA,Mouse,weight,10,0.4927,2584.8984,212.6261,0.4603,0.02632,2.435,0.1212,8.9647,0.7706,0.2078,0.02625,9,0,2.3347,8.489,0.2424,17.9906
BayesC,Mouse,weight,10,0.4973,2407.1875,203.3353,0.4466,0.0309,2.536,0.1684,9.7643,1.09409,0.1363,0.07949,9,0,2.3509,8.4528,0.2457,18.6935
BayesB,Mouse,weight,10,0.5113,2641.3007,225.1768,0.4785,0.02871,2.4804,0.1688,9.3045,1.1422,0.1781,0.07582,9,0,2.3408,8.3606,0.2539,18.458
rrBLUP,Mouse,Anx,10,0.412,2100.0664,123.527,0.4025,0.04822,0.3634,0.02091,0.2091,0.02365,0.1553,0.03642,9,0,0.3413,0.1828,0.1595,16.09295
rrBLUP,Mouse,weight,10,0.4797,2048.1054,116.7264,0.4483,0.02942,2.4578,0.1069,9.07865,0.7327,0.1974,0.02738,9,0,2.3865,8.6356,0.2293,16.4154
BayesC,Wheat,Adj.Grain.Yield,10,0.4382,13219.9687,1628.8565,0.4779,0.02572,366.7976,10.9965,2.217e+5,13289.3674,0.2191,0.02528,9,0,366.3386,2.2544e+5,0.1831,152.08253
BayesA,Wheat,Adj.Grain.Yield,10,0.4528,12246.6445,1890.953,0.4982,0.02974,359.6516,10.4779,2.1373e+5,12678.9612,0.2469,0.03051,9,0,363.2587,2.2117e+5,0.1986,185.8452
BayesB,Wheat,Adj.Grain.Yield,10,0.451,16047.1679,1740.04011,0.4932,0.03094,362.4051,11.1979,2.1711e+5,12382.8518,0.2349,0.03099,9,0,367.1735,2.2305e+5,0.1918,179.7575
BayesC,Wheat,deregressed.blups,10,0.4401,11998.7226,1642.5596,0.4777,0.02715,367.1639,9.8771,2.2313e+5,11181.1605,0.2134,0.03404,9,0,365.4131,2.2323e+5,0.1911,150.8444
BayesB,Wheat,deregressed.blups,10,0.4528,12725.6523,1746.7433,0.4953,0.02924,361.7321,10.6386,2.1689e+5,12245.5118,0.2358,0.02839,9,0,364.9607,2.2212e+5,0.1952,180.3829
BayesA,Wheat,deregressed.blups,10,0.4533,11953.3515,1887.548,0.4989,0.02987,359.4938,10.4883,2.1351e+5,12506.7074,0.2477,0.03064,9,0,363.2779,2.2089e+5,0.1996,179.8675
BayesC,Wheat,blups,10,0.4412,15646.3867,1621.8272,0.4802,0.03246,233.6738,7.9982,89675.7365,5177.5475,0.2019,0.04263,9,0,242.4571,94962.8714,0.1303,155.4223
BayesB,Wheat,blups,10,0.4477,12393.871,1743.8669,0.4953,0.03083,228.3468,7.03305,85918.7976,5284.806,0.2357,0.03525,9,0,230.1645,88420.1238,0.1903,169.3342
BayesA,Wheat,blups,10,0.4531,12224.7812,1877.07986,0.4988,0.03005,226.2599,6.6698,84610.03712,5098.8229,0.2475,0.03097,9,0,229.02775,87602.3062,0.1978,198.5529
BayesC,Chickpea,Yield,10,0.4551,10986.6367,1893.5043,0.4635,0.04835,414.4387,23.4023,2.6463e+5,27745.7883,0.17,0.06064,9,0,429.3728,2.8854e+5,0.1113,183.323
BayesC,Chickpea,Yield_per_plant,10,0.2852,10001.6601,1895.5101,0.1607,0.06647,4.568,0.2282,33.1352,2.832,-0.02722,0.06791,9,0,4.33,28.8089,0.06467,188.5608
BayesA,Chickpea,Yield,10,0.4678,7572.5039,2066.1749,0.462,0.04326,405.5541,19.9205,2.5231e+5,22704.4708,0.2083,0.04341,9,0,404.003464,2.5405e+5,0.2176,203.3193
BayesB,Chickpea,Yield,10,0.4485,10323.25,2023.8342,0.465,0.04348,426.9752,28.4611,2.7472e+5,37226.2042,0.1346,0.1307,9,0,413.2984,2.6224e+5,0.1923,211.3835
BayesC,Chickpea,Seeds_per_pod,10,0.3914,11620.4492,1968.9004,0.3744,0.02863,0.2092,0.01323,0.07234,0.007168,0.04511,0.07007,9,0,0.2093,0.08666,-0.04123,190.8472
BayesA,Chickpea,Yield_per_plant,10,0.2091,6252.01953,2042.6821,0.1393,0.05808,4.444,0.1654,32.2179,3.1497,0.003742,0.02817,9,0,4.4002,29.5246,0.04144,202.357
BayesB,Chickpea,Yield_per_plant,10,0.1847,10856.9062,1957.5342,0.13,0.06358,4.9793,0.5398,40.6803,10.1508,-0.2483,0.2385,9,0,4.9912,36.8647,-0.1968,200.1648
BayesC,Chickpea,Basal_secondary_branch,10,0.3221,9486.5859,1974.3631,0.3028,0.07472,1.08253,0.06138,1.8525,0.1962,0.06283,0.05396,9,0,1.06183,1.7962,0.08921,203.6225
BayesA,Chickpea,Seeds_per_pod,10,0.4404,9986.2695,2076.182,0.3765,0.02831,0.2049,0.006743,0.06552,0.004914,0.1352,0.02329,9,0,0.2068,0.06728,0.1915,217.5242
BayesB,Chickpea,Seeds_per_pod,10,0.4193,10323.4335,1970.0239,0.3808,0.02971,0.2156,0.01335,0.07506,0.01389,0.01073,0.1557,9,0,0.2125,0.06904,0.1703,190.7489
BayesC,Chickpea,Basal_primary_branch,10,0.2511,11086.9804,1975.8931,0.1999,0.05599,0.5833,0.0486,0.5488,0.08086,-0.03765,0.1231,9,0,0.6156,0.6335,-0.01354,199.3286
BayesA,Chickpea,Basal_secondary_branch,10,0.3122,9883.7265,2033.1945,0.3124,0.05834,1.06077,0.04959,1.7911,0.1404,0.0922,0.04216,9,0,1.05871,1.7879,0.0934,200.8218
BayesB,Chickpea,Basal_secondary_branch,10,0.3324,10323.3359,1995.2617,0.311,0.05389,1.1113,0.04511,1.9604,0.167,0.002621,0.1067,9,0,1.04469,1.7543,0.1104,196.858
BayesC,Chickpea,Apical_secondary_branch,10,0.269,6819.2617,1921.1878,0.2875,0.02952,1.5176,0.1145,3.7257,0.6327,0.02478,0.0908,9,0,1.4208,3.364,0.05824,199.6194
BayesA,Chickpea,Basal_primary_branch,10,0.2356,9979.4726,2097.2225,0.1924,0.05691,0.5619,0.02458,0.5136,0.04983,0.02866,0.0299,9,0,0.5957,0.5916,0.05349,201.4145
BayesB,Chickpea,Basal_primary_branch,10,0.233,10856.25,2017.01313,0.193,0.04252,0.5914,0.04029,0.5649,0.06652,-0.06983,0.1014,9,0,0.6081,0.5959,0.04657,208.1049
BayesC,Chickpea,Apical_primary_branch,10,0.1344,10192.832,1910.3942,0.08079,0.06488,0.5604,0.04002,0.5407,0.05673,-0.06869,0.1026,9,0,0.5443,0.4721,-0.0123,189.5763
BayesA,Chickpea,Apical_secondary_branch,10,0.2686,7852.332,2249.2925,0.3001,0.04249,1.4755,0.06846,3.4941,0.3376,0.08064,0.03393,9,0,1.453,3.3876,0.05162,201.1459
BayesB,Chickpea,Apical_secondary_branch,10,0.2756,7121.9687,2368.3752,0.2868,0.03722,1.5352,0.09579,3.7982,0.4668,0.0003577,0.091,9,0,1.5418,4.1163,-0.1523,203.6105
BayesC,Chickpea,Plant_width,10,0.4664,10553.3085,2312.05774,0.4188,0.02356,7.1549,0.5789,80.9511,13.02074,0.09792,0.1403,9,0,6.3401,63.9658,0.2152,186.08888
BayesA,Chickpea,Apical_primary_branch,10,0.0822,9995.4453,2860.5393,0.07218,0.05393,0.5457,0.02221,0.5141,0.03927,-0.01471,0.02242,9,0,0.543,0.4705,-0.009015,287.6457
BayesC,Chickpea,Flowering_duration,10,0.2573,8986.2304,2555.003194,0.2328,0.03389,6.1037,0.3845,57.2783,8.7328,-0.0282,0.1064,9,0,6.2318,59.2314,-0.01219,239.4768
BayesB,Chickpea,Apical_primary_branch,10,0.06753,10769.2187,2662.1265,0.0644,0.06209,0.5702,0.06101,0.5618,0.09593,-0.1111,0.191,9,0,0.5504,0.4993,-0.07066,225.8132
rrBLUP,Wheat,Adj.Grain.Yield,10,0.4435,12973.8242,5444.9979,0.4884,0.02996,361.5561,10.4887,2.1639e+5,12665.8191,0.2376,0.02951,9,0,364.06716,2.2292e+5,0.1923,552.9464
BayesA,Chickpea,Plant_width,10,0.4541,8976.08984,2775.9957,0.4147,0.0326,6.8797,0.306,74.7881,5.2578,0.1667,0.0317,9,0,6.3815,64.9385,0.2033,272.136
BayesC,Chickpea,Hundred_seed_weight,10,0.6382,10616.8007,2594.7568,0.6283,0.02599,5.9456,0.6779,61.5556,8.9858,0.3357,0.09231,9,0,5.9101,55.3384,0.3707,249.3382
BayesB,Chickpea,Plant_width,10,0.4634,10381.09765,2758.5019,0.4121,0.03198,6.9968,0.3325,77.02797,6.06874,0.142,0.04245,9,0,6.3688,64.2179,0.2121,290.4283
BayesA,Chickpea,Flowering_duration,10,0.2481,10714.414,2746.7767,0.2441,0.02383,5.8511,0.275,52.7729,5.9889,0.05245,0.0189,9,0,5.9516,54.9623,0.06075,268.5539
BayesC,Chickpea,Pods_per_plant,10,0.4152,10840.6835,2723.2818,0.4291,0.05026,29.1119,3.4123,1314.1715,267.02692,0.06276,0.176,9,0,30.5921,1440.04359,0.1167,260.4803
BayesB,Chickpea,Flowering_duration,10,0.1954,10103.5937,2679.5583,0.2267,0.03288,6.1428,0.4752,58.8368,9.508,-0.05202,0.07179,9,0,6.03444,56.6455,0.03199,265.9244
rrBLUP,Wheat,deregressed.blups,10,0.4435,13042.2773,5350.4108,0.4884,0.02996,361.5561,10.4887,2.1639e+5,12665.8192,0.2376,0.02951,9,0,364.06716,2.2292e+5,0.1923,538.9869
BayesA,Chickpea,Hundred_seed_weight,10,0.6361,9169.7851,2656.8853,0.625,0.02995,5.5636,0.2644,56.9115,5.476,0.3862,0.04007,9,0,5.4629,52.5894,0.4019,266.9044
BayesC,Chickpea,Days_to_maturity,10,0.4968,10830.8242,2610.04065,0.4978,0.03332,9.3667,0.642,137.03567,18.5513,0.131,0.1133,9,0,9.8335,153.8198,-0.1534,245.8996
BayesB,Chickpea,Hundred_seed_weight,10,0.6281,9634.6679,2739.07115,0.623,0.02801,6.2304,0.6295,66.8645,9.6487,0.2765,0.1094,9,0,5.5308,55.2047,0.3722,238.7114
BayesA,Chickpea,Pods_per_plant,10,0.4187,7069.5273,2774.9753,0.4303,0.05705,26.7656,1.2729,1147.6669,115.4061,0.1811,0.05338,9,0,28.9896,1349.777,0.1721,295.6497
BayesC,Chickpea,Plant_height,10,0.5957,6948.7773,2667.8276,0.5784,0.03351,6.4218,0.3875,68.1376,8.9126,0.3055,0.05222,9,0,5.5486,50.4728,0.3397,258.07796
BayesB,Chickpea,Pods_per_plant,10,0.4002,9126.9687,2711.4878,0.4313,0.06283,27.5122,1.2504,1227.836,123.7073,0.1221,0.08394,9,0,28.9148,1407.07385,0.1369,279.7641
rrBLUP,Wheat,blups,10,0.4438,13100.2382,5363.003624,0.4888,0.02996,227.4933,6.7619,85689.9959,5176.1584,0.238,0.02951,9,0,229.3849,88179.4546,0.1925,537.8651
BayesC,Chickpea,Days_to_0.5_flowering,10,0.5636,10397.1093,2336.9306,0.4888,0.04413,11.5697,1.08831,216.1449,39.9056,0.176,0.1259,9,0,10.1566,169.2016,0.2916,257.8146
BayesA,Chickpea,Days_to_maturity,10,0.5112,11178.75,2522.2612,0.5033,0.0307,8.6564,0.587,118.7804,15.5246,0.2511,0.03235,9,0,7.7743,98.6605,0.2601,271.4167
BayesB,Chickpea,Days_to_maturity,10,0.4956,8755.5234,2347.5092,0.4919,0.0335,9.5412,1.478,144.4802,40.1637,0.07928,0.29,9,0,7.8127,102.7121,0.2297,249.2621
BayesC,Soybean,VBN_BLUP,10,0.6574,9916.9101,1387.4,0.6087,0.02817,0.5084,0.04329,0.4556,0.0432,0.3327,0.09106,9,0,0.4365,0.374,0.4266,133.7197
BayesA,Chickpea,Plant_height,10,0.5989,9383.9375,2084.6822,0.5822,0.03499,6.2378,0.3782,64.9429,7.3475,0.3373,0.04049,9,0,5.5832,50.1456,0.344,206.7809
BayesB,Chickpea,Plant_height,10,0.5889,7156.09765,1970.7801,0.5785,0.02967,6.6022,0.4159,72.02231,7.9026,0.2647,0.04971,9,0,5.7337,52.508,0.3131,196.1481
BayesC,Soybean,PLH_BLUP,10,0.5733,9915.789,1373.9849,0.5735,0.039,10.2374,0.5317,187.08878,19.1831,0.315,0.0431,9,0,9.6256,186.7012,0.3129,137.3131
BayesC,Soybean,BBD_BLUP,10,0.5879,6952.07812,1445.4826,0.5919,0.03385,5.3106,0.2589,52.4005,4.7711,0.3332,0.05898,9,0,5.2235,56.8031,0.3359,146.6666
BayesB,Chickpea,Days_to_0.5_flowering,10,0.5807,10539.1171,2040.2799,0.4899,0.04347,11.7828,1.1038,220.5286,35.1521,0.1576,0.1184,9,0,10.9002,174.1545,0.2709,200.3465
BayesA,Chickpea,Days_to_0.5_flowering,10,0.5608,9353.5742,2148.15,0.4927,0.04404,11.04244,0.5753,199.06937,19.03357,0.2396,0.04336,9,0,10.2811,164.04152,0.3132,206.955
rrBLUP,Chickpea,Yield,10,0.4771,17276.371,1051.6106,0.47,0.04719,404.496,20.8729,2.4973e+5,23275.5107,0.2165,0.04506,9,0,400.6953,2.5095e+5,0.2271,107.8264
rrBLUP,Chickpea,Yield_per_plant,10,0.2358,17276.6093,1310.7155,0.1683,0.06097,4.3956,0.1524,31.5843,2.9736,0.02315,0.02153,9,0,4.3891,29.2532,0.05025,131.9811
BayesA,Soybean,VBN_BLUP,10,0.672,12298.4257,1763.7676,0.6142,0.02963,0.4888,0.02889,0.4312,0.04057,0.3722,0.03928,9,0,0.4284,0.3604,0.4476,162.9819
BayesB,Soybean,VBN_BLUP,10,0.6706,6335.7343,1788.2833,0.6064,0.0326,0.4977,0.02525,0.4451,0.04046,0.3516,0.04355,9,0,0.4599,0.3864,0.4077,165.6112
BayesC,Soybean,VBN_BLUP,10,0.6574,12182.3867,1793.516,0.6087,0.02817,0.5084,0.04329,0.4556,0.0432,0.3327,0.09106,9,0,0.4365,0.374,0.4266,181.7745
rrBLUP,Chickpea,Seeds_per_pod,10,0.4251,14713.875,1364.9593,0.3873,0.02435,0.2043,0.007098,0.06477,0.005094,0.1455,0.01774,9,0,0.2095,0.0685,0.1769,129.8652
BayesA,Soybean,PLH_BLUP,10,0.5875,12459.8046,1771.3354,0.5875,0.03808,10.04897,0.4258,179.9247,16.8728,0.3402,0.04656,9,0,9.5404,177.9448,0.3452,177.4571
BayesB,Soybean,PLH_BLUP,10,0.5731,8546.8828,1767.1446,0.5746,0.03553,10.3522,0.5041,188.9715,18.301,0.3067,0.05402,9,0,9.6496,182.9662,0.3267,196.6973
BayesC,Soybean,PLH_BLUP,10,0.5733,10454.3554,1682.6343,0.5735,0.039,10.2374,0.5317,187.08878,19.1831,0.315,0.0431,9,0,9.6256,186.7012,0.3129,194.9324
rrBLUP,Chickpea,Basal_secondary_branch,10,0.2092,14804.3359,-,-,-,-,-,-,-,-,-,8,0,1.09198,1.8625,0.02508,114.07097
rrBLUP,Chickpea,Basal_primary_branch,10,0.2611,14222.9335,1032.8456,0.2122,0.05084,0.5574,0.02382,0.5061,0.04748,0.0429,0.02138,9,0,0.5954,0.5863,0.06198,115.5289
BayesA,Soybean,BBD_BLUP,10,0.6114,10264.3789,1698.3653,0.6064,0.03218,5.151,0.2038,50.3758,3.6881,0.3588,0.0461,9,0,5.06843,53.5808,0.3735,170.4443
BayesB,Soybean,BBD_BLUP,10,0.6047,9673.457,1690.07723,0.6096,0.03706,5.2978,0.266,52.1326,4.3725,0.3339,0.08294,9,0,5.1758,54.3428,0.3646,169.7496
BayesC,Soybean,BBD_BLUP,10,0.5879,9822.6796,1569.5719,0.5919,0.03385,5.3106,0.2589,52.4005,4.7711,0.3332,0.05898,9,0,5.2235,56.8031,0.3359,161.03733
BayesC,Rapeseed,FloweringTime,10,0.7901,1969.8984,92.2941,0.8086,0.02895,5.201,1.6281,52.9466,25.8371,0.5016,0.245,9,0,9.7211,115.9534,-0.1876,14.02038
rrBLUP,Chickpea,Apical_secondary_branch,10,0.2874,13688.4179,905.02686,0.3082,0.04371,1.4725,0.06777,3.4675,0.3314,0.08765,0.03023,9,0,1.4438,3.3294,0.06791,93.6103
BayesB,Rapeseed,FloweringTime,10,0.7832,2125.2812,106.4743,0.8001,0.03563,4.5807,0.7411,44.5808,15.3276,0.593,0.084,9,0,4.9876,46.2461,0.5263,9.9804
BayesA,Rapeseed,FloweringTime,10,0.8238,2087.7421,105.1353,0.8179,0.02909,4.01558,0.3573,37.9778,13.2452,0.6562,0.04562,9,0,3.9588,31.9577,0.6726,12.8912
rrBLUP,Chickpea,Apical_primary_branch,10,0.1411,12568.6796,901.5538,0.08642,0.07154,0.5404,0.02374,0.5055,0.03934,0.00248,0.0138,9,0,0.5317,0.4584,0.017,92.4135
rrBLUP,Chickpea,Plant_width,10,0.4795,12033.4921,889.3375,0.4259,0.03022,6.8306,0.2871,73.8076,5.1888,0.1778,0.02774,9,0,6.3052,63.12,0.2256,92.5069
rrBLUP,Chickpea,Flowering_duration,10,0.2516,9636.6289,912.03795,0.251,0.02756,5.8433,0.2997,52.4071,6.04991,0.05935,0.01534,9,0,5.9293,54.8254,0.06309,94.1184
rrBLUP,Chickpea,Hundred_seed_weight,10,0.6377,10967.6992,910.9627,0.6301,0.02991,5.5314,0.2543,56.2847,5.449,0.393,0.03918,9,0,5.4372,52.382,0.4043,95.4151
rrBLUP,Chickpea,Pods_per_plant,10,0.4284,10431.7148,908.5379,0.4398,0.05748,26.5657,1.2829,1133.8725,113.05831,0.191,0.05034,9,0,28.9357,1334.8549,0.1812,82.03503
rrBLUP,Chickpea,Days_to_maturity,10,0.5134,9556.007812,955.4094,0.5045,0.0335,8.6511,0.6031,118.617,15.8887,0.2523,0.03476,9,0,7.7371,98.2945,0.2629,98.2887
BayesB,Pig,bf,10,0.7094,9437.3945,1514.8256,0.6843,0.0265,2.03232,0.1236,6.8342,0.7384,0.4424,0.04915,9,0,2.06864,6.9393,0.4735,143.5538
BayesA,Pig,bf,10,0.7064,9909.2617,1580.06222,0.6882,0.02675,1.9784,0.09305,6.4526,0.5667,0.4733,0.03704,9,0,2.01374,6.6504,0.4954,149.2367
BayesC,Pig,bf,10,0.6973,9258.7226,1487.584,0.6837,0.02479,2.09357,0.1667,7.1867,1.03664,0.4126,0.0829,9,0,2.04702,6.818,0.4827,140.5071
rrBLUP,Chickpea,Plant_height,10,0.6004,11473.164,1055.05508,0.5857,0.03313,6.2206,0.3723,64.5081,7.1467,0.3417,0.03786,9,0,5.5426,49.8471,0.3479,103.948
BayesB,Pig,age,10,0.6878,9562.789,1560.5166,0.6849,0.01871,9.9195,1.3668,152.9855,33.905,0.3539,0.1502,9,0,8.5117,117.8583,0.4658,149.2335
BayesA,Pig,age,10,0.6993,9979.6484,1691.005522,0.6879,0.01853,8.794,0.3268,125.5822,7.925,0.4706,0.02747,9,0,8.2843,112.8923,0.4883,159.2166
rrBLUP,Chickpea,Days_to_0.5_flowering,10,0.569,10491.3281,1055.6676,0.4971,0.04395,11.02521,0.5793,197.9681,19.09306,0.2439,0.04323,9,0,10.2084,162.1891,0.3209,100.4488
BayesC,Pig,age,10,0.6974,9836.5898,1524.9384,0.6861,0.01653,9.3053,0.5426,135.1091,11.7293,0.4313,0.03339,9,0,8.4641,119.3373,0.4591,167.9212
BayesB,Millet,SGN,10,0.3291,2850.5507,224.3691,0.369,0.1004,22.8943,1.3328,855.233,128.8649,0.08011,0.1095,9,0,25.2549,857.7141,0.09678,27.7341
BayesA,Millet,SGN,10,0.2983,2439.707,214.5582,0.3645,0.1082,22.8016,1.8368,833.6432,143.09917,0.1062,0.1097,9,0,25.9412,902.719,0.04938,21.3852
BayesB,Millet,MSSN,10,0.3675,2724.6289,216.1985,0.33,0.08135,13.08061,1.4511,284.3881,78.9573,0.03438,0.09656,9,0,12.8566,270.8763,0.134,21.1343
BayesC,Millet,SGN,10,0.34,2481.6015,193.2701,0.38,0.1044,22.5602,1.506,824.4396,145.9087,0.1151,0.1155,9,0,24.5729,841.8444,0.1134,18.2694
BayesA,Millet,MSSN,10,0.3835,2545.2226,218.3659,0.3295,0.07968,12.6688,1.09435,269.0574,51.2086,0.0725,0.07379,9,0,12.6896,272.2355,0.1297,21.4999
BayesB,Millet,HKW,10,0.3564,2419.5117,214.598,0.264,0.1248,0.1926,0.07802,0.3975,0.6967,-19.8953,18.782,9,0,0.07346,0.008741,-2.3993,20.9165
BayesC,Millet,MSSN,10,0.359,2300.5859,189.4894,0.345,0.07274,13.4151,2.09558,296.1031,90.2185,-0.0237,0.2963,9,0,12.79,275.0742,0.1206,18.733
BayesA,Millet,HKW,10,0.2454,2913.9023,236.1735,0.2256,0.1039,0.1439,0.04171,0.3803,0.7008,-12.09788,8.2327,9,0,0.1067,0.02353,-8.151,20.6499
BayesB,Millet,PGW,10,0.1634,2529.4062,246.1148,0.2851,0.1298,3.967,0.3784,25.133,4.797,0.03567,0.05919,9,0,4.5861,31.9274,0.0133,21.6441
BayesC,Millet,HKW,10,0.3615,2590.8593,229.6601,0.2882,0.1274,0.1131,0.05101,0.366,0.7142,-4.2274,3.6467,9,0,0.07994,0.009735,-2.786,18.7346
BayesA,Millet,PGW,10,0.1849,2871.789,278.8547,0.2885,0.1138,3.9177,0.4474,24.681,5.3404,0.057,0.08929,9,0,4.6198,31.8387,0.01605,26.831
BayesB,Millet,MSPW,10,0.1146,2599.9765,288.2637,0.2849,0.1244,4.6274,0.5152,33.9978,7.7544,0.04593,0.07813,9,0,5.3563,46.2314,-0.04696,31.6259
BayesC,Millet,PGW,10,0.135,2571.8554,270.8794,0.2753,0.1302,3.8868,0.441,24.9083,5.4179,0.04746,0.09885,9,0,4.5954,32.6674,-0.009557,28.6252
BayesA,Millet,MSPW,10,0.1267,2717.789,231.8971,0.2954,0.1273,4.5653,0.5453,33.2598,7.7166,0.06558,0.09587,9,0,5.4231,45.1098,-0.02156,23.6317
BayesC,Millet,MSPW,10,0.1013,2975.207,193.5099,0.2921,0.123,4.6242,0.5404,34.1282,7.03906,0.03513,0.1046,9,0,5.3073,44.3006,-0.003235,17.7687
